,species_guess
64673,Nene
64680,Turpial amarillo
64682,"Pinzones, jilgueritos, eufonias y parientes"
64684,Japanese Leaf Warbler
64695,Woodland Dor Beetle
64700,Porphyromma
64712,Cochicho
64714,Clinking Currawong
64725,White-throated Swallow
64726,Tan Jumping Spider
64748,Varley's Robber Frog
64749,Cyrtoxipha poeyi
64751,매미아목
64760,Jacuguaçu
64770,Philentoma pyrhoptera pyrhoptera
64771,Actenoides concretus peristephes
64772,Megapomponia intermedia
64781,West Mexican Euphonia
64787,Yal
64817,Castor du Canada
64827,Southern Masked Weaver
64833,African Blue Tit
64840,Scinax similis
64848,Hairy-tailed Mole
64857,Synallaxis frontalis
64862,Chevêche d'Athéna
64872,frog
64882,Hewitt's Moss Frog
64906,Broad-billed Motmot
64913,Crossbills
64931,grasshopper
64934,Havana Syndrome Cricket
64940,Zapata Wren
64941,Cuban Vireo
64943,蜩蝉族
64944,Acrocephalus caffer
64946,腹螗蝉
64947,螗蝉属
64950,Papa-moscas-comum
64952,Gelbbrauenlaubsänger
64957,Kapkrähe
64962,Black Catbird
64965,Чернохвостая чайка
64969,小黑日宁蝉
64978,Arapaçu-de-cerrado
64981,Κοκκινοσκέλης
65006,Fernandina's Flicker
65010,Caribbean Dove (Yucatán)
65016,Seaside Meadow Katydid
65031,迷卡斗蟋
65034,Gryllotalpinae
65036,Yucatan Flycatcher
65039,Sabiá-una
65048,Melanerpes pygmaeus pygmaeus
65054,Sabiá-laranjeira-do-sudeste
65059,귀뚜라미과
65062,Zapata Toad
65063,Amphiacusta
65065,Hapithus eumeles
65066,Western House Wren
65067,Rhagodima nigrocincta
65068,늦털매미
65076,Violaceous Euphonia
65113,까마귀과
65143,Ghiandaia
65146,Ptilinopus purpuratus purpuratus
65150,Peitica-de-Chapéu-Preto
65151,Ashy-headed Tyrannulet
65172,mockernut
65177,Black Tupelo
65178,Ptaki
65185,Sahara Frog
65186,Patagón
65190,Leymebamba Antpitta
65194,Eared Quetzal
65196,Golden-mantled Ground Squirrel
65213,Gymnogryllus
65221,Common Straw Grasshopper
65222,Charadrius vociferus
65224,Broom Snakeweed
65245,chauve-souris argentée
65246,Murin argenté
65249,Doradito Limón
65254,Benito River Reed Frog
65255,Leopard Reed Frog
65278,South Island Kākā
65282,Saltamontes Verde Común europeo
65283,Black-shanked Douc Langur
65299,Mocking Cliff-Chat
65308,Paradise Riflebird
65309,common ninebark
65310,water chestnut
65311,Caprifolium
65312,desert false indigo
65313,northern bush honeysuckle
65317,American hophornbeam
65318,White Wood Aster
65323,Большая горлица
65338,Lanius excubitoroides excubitoroides
65349,Paulacris exaggerata
65351,Grimpereaux
65363,cinnamon fern
65364,wild sarsaparilla
65374,Butternut
65385,Grillon provençal
65386,strnad luční
65391,棕簑貓
65395,Chorlito Chileno
65402,日本紡織娘
65419,Lilac-crowned × Red-crowned Parrot
65430,Teque-teque
65437,Colirrojo tizón
65442,"Flying Foxes, Monkey-faced Bats, and Allies"
65453,Long-billed Wren
65461,Korokoropio
65468,Fiji Woodswallow
65507,Трёхпалый дятел
65512,Rorqual à bosse de l'Atlantique Nord
65513,Physalaemus signifer
65515,Scinax
65526,Todiramphus sacer
65536,Pica hudsonia
65539,Rã-das-enxurradas
65540,Melanophryniscus spectabilis
65541,Melanophryniscus tumifrons
65551,Perico Mexicano
65563,Kaka
65565,Straight-lanced Meadow Katydid
65570,Dwarf Tree Frog
65573,Myopsalta crucifera
65578,Gray-headed Chachalaca
65586,Spotted Painted Reedfrog
65611,Gray-winged Francolin
65614,Graue Beißschrecke
65615,Stridulating Slantface Grasshoppers
65636,Крайбрежно шаварче
65645,Fischer's Lovebird
65664,Tōrea (South Island Pied Oystercatcher)
65676,Corvus corone
65677,Bruine Grootoorvleermuis
65688,Ива Гмелина
65689,Ячмень гривастый
65690,budníčkovití
65713,Palomita cordillerana
65724,Suirirí pico corto
65748,Chorthippus mollis lesinensis
65753,strakapoud malý
65765,Yellow Bats
65779,Gomphocère roux
65781,Daintria australicus
65785,Miniature umbrella tree
65798,Southern Spotted Thick-Knee
65801,Passera scopaiola
65836,Trepatroncos Corona Rayada
65840,Gopher Snake
65842,Cinnamon-bellied Saltator
65845,Beautiful Sunbird
65848,斯文豪氏赤蛙
65851,datel černý
65853,střízlík obecný
65865,Red-headed Cisticola
65873,Синехвостка
65875,Лесная Завирушка
65876,Пеночка-Зарничка
65885,pěnice hnědokřídlá
65895,Hawaiian Stilt
65926,Pappeln
65946,Chestnut Weaver
65947,Wallum Sedge-Clicker
65949,Playero dorso rojo
65952,Eurasian Griffon
65958,Toutinegra-dos-valados
65972,黑短脚鹎
65974,Anele ulia
65994,Cerambycinae
66003,蛉蛄
66006,Formosan Rock Macaque
66012,イソヒヨドリ
66016,Papa-Formiga-de-Grota
66017,Tovacuçu
66019,Xenocona asperipennis
66028,Pacific Shore Cricket
66030,Teleogryllus oceanicus
66037,Punaise verte ponctuée
66045,Moneilema albopictum
66070,racek chechtavý
66076,Mistbelt moss frog
66078,Cigarra-Formosa
66083,Siskiyou Chipmunk
66095,Weißrandfledermaus
66114,Guêpier à fraise
66122,Florida Red-shouldered Hawk
66123,Rã-pimenta
66144,Purple-banded Sunbird
66145,Violetears
66147,Pseudorhynchus lessonii
66148,Plain Greenbul
66168,Loro Cachetes Amarillos
66171,Streaked Laughingthrush
66199,Ringelnatter
66203,Nuttall's × Ladder-backed Woodpecker
66209,Ammophila heydeni
66221,Red-billed Buffalo-Weaver
66222,Greater Blue-eared Starling
66223,African Pipit
66230,Gorrión pálido
66237,Miopithecus ogouensis
66251,Galerida cristata pallida
66261,Orellana bigibba
66269,Isonychus
66273,Zudella kau
66278,Chlorocystini
66280,Teichfledermaus
66281,Purple Sandpiper
66287,Mandrill
66288,Waffenkiebitz
66289,Central African slender-snouted crocodile
66300,Pauropsalta kriki
66303,Common Barking Gecko
66306,Sociable Weaver
66307,columbines
66322,Rosy Thrush-Tanager
66334,椋鳥科
66347,Varillero congo
66356,Gaviota de lava
66359,Хохлатая желна
66364,Black-shouldered Nightjar
66365,Sagui-de-wied
66367,Chestnut-breasted Munia
66387,Nanixipha nahoa
66389,Northern Territory Frog
66394,Black-spotted Frog
66398,Typical Treecreepers
66399,Gęś Białoczelna
66401,Empidonax hammondii
66417,Black-tailed Godwit
66421,Weißbart-Seeschwalbe
66423,Гусь Белолобый
66427,Plumbeous-crowned Tyrannulet
66435,Ichneumonid and Braconid Wasps
66436,Rhipidura javanica longicauda
66437,Rifleman
66440,Alexandrine Parakeet
66441,goat willow
66443,臺灣大赤鼯鼠
66466,South African Red-billed Quelea
66487,Namaqua Sandgrouse
66495,Kalahari Ring-necked Dove
66505,นกกิ้งโครงคอดำ
66506,Decticelle Chagrinée
66509,Amegilla garrula
66510,Elephastomus proboscideus
66528,Rufous-crowned Pygmy-Tyrant
66550,Batará unicolor
66554,隐纹花松鼠北京亚种
66555,Brandt's Bat
66564,Черношейный скворец
66568,Orientopsaltria fangrayae
66589,African Silverbill
66592,Warty Toad
66594,Black-hooded Oriole
66614,Lesser Broadbill Roller
66617,Syndactyla subalaris
66623,Wedge-tailed Sabrewing
66633,Eastern Australian Reed Warbler
66635,Bolbelasmus gallicus
66653,Brown-backed Mockingbird
66660,African Collared Dove
66675,Thornbills and Allies
66676,Black-chinned Honeyeater
66680,wild marigold
66689,Saci
66690,Pica-pau-anão-de-coleira
66692,Orthotomus sutorius inexpectatus
66697,Braunes Langohr
66732,Gallito de roca andino
66738,Salpinctes obsoletus
66741,Promerops cafer
66751,Striped Honeyeater
66755,True Silkmoths
66793,Shielded Oak Bush-cricket
66798,Akiapolaau
66818,Chorthippus mollis mollis
66822,Cistothorus palustris tolucensis
66841,Alpen-Strauchschrecke
66850,Mimus parvulus parvulus
66865,Sturnus vulgaris
66867,Tosena albata
66884,大嘴乌鸦
66886,Australasian Bittern
66888,白楸
66890,血桐
66891,Porco-do-mato
66900,Putty-nosed Monkey
66901,Galago mignon du sud
66902,Thomas's Dwarf Galago
66903,Galago Mignon du Sud
66974,山紅頭(台灣亞種)
66987,Pecos Clicker Grasshopper
66990,Pondoland Tawny-flanked Prinia
67000,Common Indian Cricket Frog
67004,Badlands Cricket
67011,Junco hyemalis hyemalis
67012,Sapo-da-Areia
67013,Hérisson commun
67027,Western Rock-Loving Field Cricket
67029,นกกินปลีหางยาวเขียวอ่างกา
67030,Золотоголовый королёк
67037,Jilguero oliváceo
67039,zoborožec Hartlaubův
67040,Fire-crested Alethe
67041,Lesser Bristlebill
67042,African Forest-Flycatcher
67043,Lowland Akalat
67055,American Mistletoe
67058,Kalahari Scrub-Robin
67076,Utah Lava Cricket
67115,Empidonax virescens
67121,Erithacus rubecula marionae
67122,Parnisini
67127,Pignut Hickory
67130,Black-faced Solitaire
67131,Bacurau
67135,أوز وردي القدمين
67151,White-headed Marsh Tyrant
67165,Churrín grande
67167,Обыкновенный домовый сыч
67168,Japanese honeysuckle
67171,Loro guaro
67178,Mainland Bearded Scrub-Robin
67179,Gorrión chillón
67181,Java White-lipped Frog
67184,Chinspot Batis
67206,Chipe dorso verde
67207,Rotbauchhörnchen
67208,Cigarra-bambu
67210,Anatidae
67212,Giant Burrowing Frog
67222,Cigarra-Gigante
67233,Blue-backed Tanager
67240,Turdus torquatus amicorum
67244,Mormopterus kalinowskii
67248,Winding Cisticola
67255,Eufonia garganta amarilla
67256,Perna-amarela-grande
67269,Anser albifrons
67273,Elegant Parrot
67278,Moreau's Sunbird
67282,Blue-headed Parrot
67292,Fraseria caerulescens
67297,Cygnus columbianus columbianus
67302,Waterthrushes
67306,Rattler
67307,Poaka (Pied Stilt)
67311,Bronze-naped Pigeon
67313,Eastern Bearded-Greenbul
67316,タイワンクツワムシ
67329,Sciurus ignitus
67334,Curruca rabilarga
67337,buco bigotudo
67344,Martin-chasseur gurial
67360,Kanadakleiber
67361,Besouros
67387,Polícia-inglesa-do-sul
67392,Olive Whistler (Tasmania)
67395,Gibbon à mains blanches
67396,กระรอกปลายหางดำ
67397,กระแตเหนือ
67398,martin-pêcheur d'Amérique
67404,Cape Yellow Bishop
67409,Gabbiano Corso
67419,Bienteveo Común
67426,ニシキリギリス
67435,Northern Yellow Sac Spider
67454,松鼠科
67460,Common Boomslang
67462,角螽族
67471,Mozambique Rain Frog
67480,Bicotorto común
67487,Huet-huet
67496,giant reed
67505,Uí-pi
67509,Pequén
67511,Choca-do-planalto
67516,Arremon
67544,Cigarra-Pare-e-Siga
67547,Fairy Tern
67555,Flat-tailed House Gecko
67561,粉腹朱雀
67581,Eastern Ring Ouzel
67582,Insectes
67586,Chorister Robin-Chat
67588,Picogordo Degollado
67590,"Calandrias, tordos, caciques, oropéndolas, zanates, praderos y parientes"
67592,Papagaio-do-mangue
67593,Two-striped Mermiria
67620,Pico de coral
67624,Beutelmeise
67628,Mexican Bush Katydid
67634,Волове очко
67651,画眉
67653,叉尾太阳鸟
67654,Sylvietta virens baraka
67658,四声杜鹃
67659,Vinaceous Dove
67662,Bataklık Düdükçünü
67669,Vogel
67670,Яструб великий
67681,Tángara real
67684,Fiery Ambertail
67687,Sakhalin Leaf Warbler
67693,watercress
67697,Grayfoot Chacma Baboon
67712,Carpinterito bataráz chico
67725,Alpine Leaf-Warbler
67744,North African raven
67752,Ptiloglossa
67756,Cerambícidos de los cactus
67757,Alaudala rufescens rufescens
67762,Brown Nightjar
67763,Western Lowland Gorilla
67767,curruca tomillera insular
67775,Barbu à plastron rouge
67778,Grasmus
67780,Comesebo patagónico
67788,amazon
67795,Piojito picudo
67796,Fogo-apagou
67811,gorrión moruno occidental
67816,cicadidae
67821,Anthus berthelotii berthelotii
67822,Fuerteventura Blue Tit
67829,Rio Mayo Titi
67831,Corvus macrorhynchos
67839,Ploceus melanocephalus
67850,Canary Islands Common Buzzard
67852,Zweifarbige Beißschrecke
67854,Regulus
67880,African Black Oystercatcher
67884,棕颈钩嘴鹛
67885,Red-crowned Barbet
67889,Parkesia
67891,Fuerteventura Stonechat
67893,Сичик-Горобець
67894,Physalaemus albifrons
67923,Rufous-winged Buzzard
67924,rufa-group Wood Ants
67926,Faisán asiático de collar
67930,Peru white-lipped frog
67937,Luì Piccolo
67942,นกตะขาบทุ่ง
67950,Gaivota-d'asa-escura
67953,Cotorra Aliazul
67967,Olympic Gull
67968,Zorzal imitador
67972,Honey Mushroom
67985,Stizorhina fraseri vulpina
67991,Filipe
67995,Phyllomedusa iheringii
67996,passeriformes
68004,Ctenomys torquatus
68025,Обыкновенная Зеленушка
68027,Thamnophilus murinus
68043,Svirbelis
68045,Yellow-crowned Elaenia
68062,Saki del Napo
68063,Corvus monedula
68071,Barred Wren-Warbler
68072,Phyllodytes gyrinaethes
68076,Alpenkraai
68103,Forapaglie castagnolo
68109,Piranga Capucha Roja
68113,Forest Toad
68116,Rock-Thrushes
68118,Mountain White-crowned Sparrow
68155,Somateria mollissima
68156,Small Niltava
68159,Great Crested Tern
68160,Scarlet-faced Liocichla
68173,Cornacchia nera
68177,Trinca-ferro-verdadeiro
68192,Мохноногий сыч
68208,Southern Ticking Ambertail
68213,Pteronemobius arima
68215,Fura-Barreira
68219,Southern Terrestrial Brownbul
68220,Sabine's Gull
68225,Mata da Bananeira Snouted Tree Frog
68226,Boana freicanecae
68233,Yellow Cardinal
68240,Gryllus transpecos
68244,Pererequinha-de-bromélia
68247,脊椎動物亞門
68248,脊索動物門
68251,Red-billed Malkoha
68258,Rufescent Prinia
68259,Gray-headed Parrotbill
68267,Paquinhas
68281,Loja Rocket Frog
68284,Black Hornbill
68285,Charcoal Stingless Bee
68288,Passeriformi
68292,White-bellied Redstart
68307,Borralhara
68310,White-breasted Woodswallow
68318,Sooty-capped Babbler
68319,Steller's Jay × California Scrub-Jay
68320,小辮鴴
68355,Ardea herodias occidentalis
68360,Hooded Plover
68371,Reed Frogs
68373,Fluffy-backed Tit-Babbler
68375,ヒカリゼニゴケ
68383,Macaco-prego-preto
68387,Curutié Vulpino
68388,Cuclillo faisán
68395,Copsychus saularis saularis
68397,นกเอี้ยงสาริกาอินเดีย
68407,Eurillas gracilis extrema
68408,"Corbeaux, Corneilles et Choucas"
68442,Stereum
68445,Hylobates lar lar
68446,Eastern Field Sparrow
68447,Águia-cinzenta
68448,Great Slaty Woodpecker
68449,Yellow-eyed Babbler
68450,Red-capped Robin-Chat
68456,African Golden-Weaver
68468,Cisticola chiniana smithersi
68469,Pearl-spotted Owlet
68474,White-shouldered Antbird
68475,Amazonian Antshrike
68487,Agile Gibbon
68488,Atrapsalta dolens
68493,Rufous Limestone Babbler
68495,Gray-eyed Bulbul
68497,Corneja negra
68500,"vrána, krkavec, havran, kavka"
68505,Pacific Black Duck × Mallard
68508,tea viburnum
68510,wild garlic
68526,Temmincks Strandloper
68540,Bienen
68547,Leiothlypis ruficapilla
68551,red oaks
68552,Proceratophrys korekore
68553,vuorihemppo
68556,Acridotheres
68566,Eastern Nicator
68573,นกสีชมพูสวน
68578,Red-chested Sunbird
68583,Australian Ground Frogs
68585,Parker's Spinetail
68586,Fuscous Flycatcher
68587,Zimmer's Woodcreeper
68588,Leaden Antwren
68592,Megaceryle lugubris guttulata
68593,Amur Wagtail
68594,Indian Little Ringed Plover
68596,Variable Limestone Babbler
68605,Milk-white Toothed Polypore
68611,Interior Nelson’s Sparrow
68619,Baeopogon indicator indicator
68625,canário do brejo
68628,Dog-like Bats
68644,Litoria
68650,Catharus fuscescens
68652,White-throated Greenbul
68657,Aleeta
68660,Felosa-sombria
68666,churrín negruzco
68667,Painted Reed Frog
68676,Lumpy Bracket
68680,Andean Cock-of-the-rock
68686,Empidonomus aurantioatrocristatus
68687,Chicharra de campo
68688,Puna Tapaculo
68695,Red-faced Warbler
68707,磯鷸
68711,Gray Greenbul
68712,Nahan's Partridge
68719,Boehm's Bush Squirrel
68720,Lamprotornis splendidus splendidus
68721,Eurillas latirostris latirostris
68728,Chami Antpitta
68733,Écureuil de brousse d’Alexander
68736,Yellow-breasted Forest Robin
68737,Fraseria griseigularis griseigularis
68742,Cyanomitra olivacea ragazzii
68758,Ευρασιατικός Γκιώνης
68768,イエネコ
68778,Little Baron
68781,Tiger Sawgill
68785,Colibrí  orejas blancas
68791,赤紅山椒鳥
68795,琉球山椒鳥
68803,Suindara
68804,Mountain caco
68807,Galápagos Rail
68816,Black-and-yellow Broadbill
68818,鶺鴒科
68819,白鶺鴒
68828,黃腰柳鶯
68850,Black-and-rufous Warbling-Finch
68851,Nesotriccus murina
68853,Trogón de corona azul
68857,Yellow-crested Cockatoo
68860,Wheatears and Allies
68863,Vireo anteojillo
68883,Black-headed Bulbul
68884,Little Green-Pigeon
68885,Abendsegler
68914,Charranes
68916,Brachpieper
68918,Chlorocysta
68919,Apteryx mantelli
68931,Perth Bandit
68936,Christmas fern
68948,Natula longipennis
68953,Maronenspecht
68962,Moaning Frog
68983,بط سماري
68986,Oysterlings
68991,Troglodytes troglodytes troglodytes
68999,Crotophaga ani
69005,Bugio-de-manto
69060,Pica nuttalli
69075,Canard chipeau
69076,Covered-cell Mud-dauber Wasp
69079,Steinwälzer
69080,Buff-spotted Flufftail
69084,Певчий сверчок
69085,Ikakogi tayrona
69087,Olive-green Coastal Katydid
69092,Malayan Black-capped Babbler
69094,Western Palm Warbler
69122,Pristimantis relictus
69133,"grasses, sedges, cattails, and allies"
69135,Pelodytes
69147,mountain laurel
69159,Zambullidor menor
69164,Longhorn Beetles
69170,bronzed drongo
69176,Parnquila venosa
69181,Carpintero habado
69182,mehiläissyöjä
69188,Colorado Chipmunk
69206,Helmparelhoen
69256,Sebinho-de-olho-de-ouro
69260,Толстоклювый зуёк
69261,hulman tmavý
69279,Mountain Wren
69280,Churrín Negruzco
69283,Porphyriops melanops
69291,Victorian Firetail
69296,Erckel's Spurfowl
69299,Taphurini
69302,Puget Sound White-crowned Sparrow
69303,Pseudis paradoxa
69311,Kohlmeisen
69356,Common Cicadabird
69357,大冠鷲（台灣亞種）
69358,Terpandrus splendidus
69367,Cigarra-de-maria
69369,White-bellied Woodpecker
69373,strakapoud velký středoevropský
69374,Moreirocarcinus emarginata
69394,Yal platero
69398,Red-eyed Firetail
69400,オオハクチョウ
69402,Falcidectes divisus
69404,Ржанкообразные
69405,カルガモ
69406,モズ
69416,Rhinoceros Hornbill
69419,White-browed Crake
69426,Coreinae
69427,Zuid-Afrikaanse Zeebeer
69433,Pikkulepinkäinen
69437,Buho
69446,Blood Redtail Cicada
69449,Arara-Canindé
69453,Flame Robin
69455,Red Warbler
69467,Eurasian Marsh-Harrier
69476,Orange-thighed Frog
69481,Αετίδες
69492,Каменный шмель
69495,Slate-colored Boubou
69502,Águilas crestadas
69512,Chaco Sparrow
69533,大山雀
69536,Procavia capensis
69537,slender-billed crow
69540,Physalaemus barrioi
69542,Andalusische Groengestipte Kikker
69543,Европейская Сорока
69547,Matracas Y Saltaparedes
69559,Kruisbek
69561,Grauwe Klauwier
69587,Butterfly Bats
69595,Siamese Fireback
69596,purple-naped spiderhunter
69599,Williamsonfliegenschnäpper
69601,Sultan Tit
69602,Orange-breasted Trogon
69603,Yellow-streaked Warbler
69604,Heart-spotted Woodpecker
69606,Striated Bulbul
69612,Poiana
69616,Afrotis afraoides
69624,Calcarius pictus
69670,Purple-naped Spiderhunter
69676,Varis x nokivaris
69680,Slaty-blue Flycatcher
69682,Cinereous Antshrike
69683,Tawny-crowned Greenlet
69687,Chilecicada trifasciunca
69693,Northern Piratic Flycatcher
69703,Picogordo azul
69709,Camachuelo Trompetero
69717,Sporophila morelleti morelleti
69719,Bicolored Wren
69720,灰松鼠
69721,Gray-headed Yellow-olive Flycatcher
69723,Mesoamerican Social Flycatcher
69770,Stubble Quail
69773,Brown Prinia
69788,capitão-castanho
69792,Tuque
69799,Saltapared Cholino del Este
69800,Pantropical Huntsman Spider
69806,Cigarra-verde
69810,松鴉
69819,Сибирский Бурундук
69820,Bombycilla garrulus
69822,Leafbirds
69823,歐亞鴝
69831,Spectacled Bulbul
69837,Curculionidae
69848,Cinereous Harrier
69851,Calamite des Joncs
69862,Straight-billed Hermit
69875,Sabiá-Do-Campo
69887,White-necked Babbler
69888,Каравайка
69889,Capuchino Garganta Café
69891,Forest Demon
69902,Казарка черная
69916,Tiquitiqui Vientre Blanco
69923,Yellow-winged Flatbill
69924,White-tailed Titi
69925,Ocellated Woodcreeper
69926,Old World Orioles
69933,Hyantia bahlenhorsti
69937,Greater Antillean Bullfinch
69939,Barbu rayé
69944,Nearctic Bumble Bee
69960,Dendropsophus sanborni
69962,Sooty-fronted Spinetail
69964,白尾八哥
69969,Canis latrans
69981,Rã-assobiadora
69984,长颚斗蟋
69985,Pica-pau-de-cara-canela
69986,White-collared Manakin
69991,Barbary Partridge
70007,Colombian Speckle-breasted Wren
70008,Chevalier Aboyeur
70011,Perereca-de-banheiro
70025,Many-banded Tree Frog
70032,Golden-throated Barbet
70033,Scythrops novaehollandiae
70034,Streak-eared Bulbul
70041,Karoo Cicadas
70054,Isthmohyla rivularis
70068,Bewick's Swan
70069,Pygmy Cupwing
70071,Dzięcioł zielony
70082,Xylotrupes australicus
70087,Striped Woodcreeper
70091,Pararu-Azul
70092,João-Corta-Pau
70094,Sanã-Parda
70095,Murucututu
70096,树鹨
70097,红头长尾山雀
70098,Aratinga-de-testa-azul
70103,Grey-bellied Squirrel
70119,Brown-winged Kingfisher
70120,Parus cinereus ambiguus
70135,Pouillot de Hume
70145,Sapito de colores
70146,Whistlers and Allies
70150,Puerto Rican Bullfinch
70155,Ворона-свистун
70163,Streaked Wren-Babbler
70176,Modicogryllini
70178,Red-shouldered Macaw
70189,Изофии
70193,конёк малый
70211,Red-flanked Bluetail
70219,Rock Sandpiper
70225,Brown-streaked Flycatcher
70226,Chloropsis sonnerati zosterops
70227,Red-throated Sunbird
70228,Arachnothera crassirostris
70235,Зеленчук короткокрылый
70244,four-ridged toad
70246,Dunkler Wasserläufer
70248,黃尾鴝(指名亞種)
70249,Northwestern Wolf
70252,Настоящие Кузнечики
70268,Maullador gris
70274,Brown-capped Redstart
70275,Crested Hornero
70280,New England Grass Buzzer
70281,Atlantic white cedar
70286,Striped Burrowing Frog
70291,Lesser Racket-tailed Drongo
70314,Cuban Crow
70328,myophonus robinsoni
70346,Banded Martin
70348,西方喜鵲
70358,Polioptila plumbea atricapilla
70386,Robust Ambertail
70387,까마귀속
70398,Aegithalos caudatus caudatus
70401,Schneeammer
70409,Хохлатая Синица
70410,Трёхпалый Дятел
70411,Gavilán acanelado
70434,Eulaema
70436,นกพงปากหนา
70438,Guacharaca colorada
70473,大盘尾
70475,Old World Parrots
70483,Puerto Rican Oriole
70484,Clamorous Reed Warbler
70487,Streaked Spiderhunter
70490,Apaloderma narina brachyurum
70495,Perruche à Collier
70498,Plain Squeaker
70518,mule fat
70522,Small Cackling Goose
70530,Adelaide's Warbler
70532,White-browed Tapaculo
70533,Streak-fronted Thornbird
70534,Creamy-breasted Canastero
70536,Sandy Gallito
70539,Cocoi Heron
70543,Anser caerulescens
70548,黑眉雀鹛
70555,Carpintero del cardón
70560,Ruiseñor del Japón
70570,Two-barred Warbler
70572,Chestnut-crowned Becard
70596,Spot-breasted Thornbird
70597,Dot-fronted Woodpecker
70601,Aramus guarauna
70605,Carineta spoliata
70608,Corujinhas
70613,東方黃鶺鴒
70616,蓬萊長頸金花蟲
70617,Cape Fur Seal
70621,Boulenophrys ombrophila
70627,Sagui-da-serra-escuro
70653,Rana Piadora
70672,Cisne de cuello negro
70678,Canary Islands Common Kestrel
70687,Sage Sparrows
70697,Slaty Elaenia
70704,Bank Myna
70706,Batrachyla antartandica
70731,Rufous-bellied Swallow
70742,Rusty-breasted Antpitta (rara)
70759,Yellow-cheeked Chipmunk
70774,Yellow-fronted Tinkerbird
70777,Yellow-vented Flowerpecker
70779,Scaly-breasted Illadopsis
70780,Brown Illadopsis
70794,Ferruginous Hawk
70806,エナガ
70812,Red-naped Trogon
70821,Canary Islands Chiffchaff
70823,Grillos topo
70839,Hairy Woodpecker (Pacific)
70845,Anthreptes rectirostris
70846,Copper-throated Sunbird
70856,Moustached Babbler
70857,Dusky Broadbill
70886,Capybara
70904,Otago Speargrass Cicada
70907,金蛉蟋属
70908,Küçük İskete
70918,Blue-lored Antbird
70920,Pijuí Pechiestriado
70922,Gewone Pad
70926,Crimson-winged Woodpecker
70951,Black-chested Buzzard-Eagle
70955,Burrito Canela
70977,Bunyips
70980,black-capped Babbler
70984,Eurasian Three-toed Woodpecker
70985,cerquero cabecinegro
70988,Buff-barred Warbler
70989,pijuí pizarroso
70999,Cuclillo canela
71007,Búhos pigmeos
71019,Cigana
71025,Northern Gelada
71030,Bunttukan
71031,Magellanspecht
71032,Gelbschopfspecht
71034,Carpintero oliva chico
71036,Streifenbrusttimalie
71038,Gracupica floweri
71039,Yellow-crowned Parrot
71041,Gaai
71046,Longnose Reed Frog complex
71049,Bandurria austral
71062,Ñanday
71066,Chiripepé cabeza verde
71075,Screaming Cowbird
71076,Black-bodied Woodpecker
71077,Chaco Owl
71087,Malayan Crested Fireback
71090,Common Skittering Frog
71091,Twin-spotted Flying Frog
71111,Pale-crested Woodpecker
71115,Yellow-collared Macaw
71117,Cinereous Tyrant
71124,Chestnut-throated Huet-huet
71125,Black-throated Huet-huet
71126,Gallito copetón
71127,Chucao Tapaculo
71128,Magellanic Tapaculo
71130,Rufous-banded Miner
71135,Ticotico grande
71138,Scimitar-billed Woodcreeper
71147,Hudson's Canastero
71148,Cordilleran Canastero
71149,Sharp-billed Canastero
71151,Yellow-chinned Spinetail
71154,Stripe-crowned Spinetail
71157,Plain-mantled Tit-Spinetail
71163,Curutié ocráceo
71164,Band-tailed Earthcreeper
71165,Espinero grande
71169,Colilarga
71183,Украшенный чибис
71194,독수리
71198,Caneleiro
71208,Common Grasshopper Warbler
71211,Fejervarya orissaensis
71217,Surucua Trogon
71227,Rusty-collared Seedeater
71228,Firewood-Gatherer
71234,コハクチョウ
71241,Chinese Blue Flycatcher
71243,Обыкновенная лисица
71258,Bran-colored Flycatcher
71274,Phylloscopus ibericus
71276,Sanhaçu-do-coqueiro
71303,Fulvous-crowned Scrub-Tyrant
71308,Aguilucho
71312,Tucán de pico negro
71313,Дятел
71329,Gemeine Narzissenschwebfliege
71336,Orange-backed Woodpecker
71350,Perenjak Coklat
71370,Parmelioideae
71383,Sirirí Común
71384,Fraxinus americana
71389,Spix's Spinetail
71390,Streamer-tailed Tyrant
71393,Blaberus
71394,Northern Jacana
71414,Sapo partero común
71416,Screeching Frogs
71418,Bush Squeaker
71420,Arthroleptis stridens
71429,Leptopelis broadleyi
71430,Bocage's Tree Frog
71431,Yellow-spotted Tree Frog
71434,Natal Forest Tree Frog
71439,Pijuí Cola Parda
71446,Black Rain Frog
71448,Power's Rain Frog
71455,Cocha Antshrike
71460,Ruby-crowned Tanager
71462,טריסטמית
71468,Setophaga coronata coronata
71472,ミゾゴイ
71491,Zarapito ganga
71492,Subdesert Toad
71494,Beira Toad
71496,African Green Toad
71498,Poyntonophrynus lughensis
71501,Greater Sandhill Crane
71515,Sapo Moruno
71560,Ochre-breasted Foliage-Gleaner
71562,Eared Pygmy-Tyrant
71563,White-eyed Foliage-Gleaner
71564,Chestnut-eared Aracari
71566,Saltator grandis yucatanensis
71568,Rheobates palmatus
71571,Marbled Sand Frog
71574,กบหนอง
71577,Coastal California Gnatcatcher
71595,Pato doméstico
71608,Diademed Tanager
71609,Chestnut-backed Tanager
71610,Tuquito rayado
71621,Common Woodshrike
71625,Streaked Tuftedcheek
71627,Hyla carthaginiensis
71632,Green-eyed Tree Frog
71636,Ocellated Tapaculo
71637,Superciliaried Hemispingus
71640,Rufous-crowned Babbler
71641,Macaque Crabier
71643,Saltator à capuchon
